Positive AOA,,Velocity=,17.7,Pressure Static=,14,Angle of Manometer,30,Chord Length (cm),6.5,
AoA,1,2,3,4,5,6,7,8,9,10
0,0,29,32,26,30,28,26,23,20,18
2,0,36,36,32,30,28,26,23,20,18
4,3,44,42,36,33,30,26,23,21,19
6,14,52,48,41,35,30,26,24,21,19
8,26,58,53,45,35,30,26,24,21,19
10,32,60,56,52,35,31,26,24,21,19
12,40,69,68,54,35,30,26,23,21,19
14,25,40,42,44,35,31,29,27,26,24
16,22,34,34,38,32,30,29,28,26,25
Negative AOA,,,,,,,,,,
AoA,,,,Pressure Static=,16,,,,,
0,0,29,31,32,28,26,24,23,21,20
2,0,19,22,26,25,25,24,23,21,20
4,2,17,20,25,25,25,24,24,21,20
6,12,13,15,22,22,23,23,22,21,19
8,18,9,14,18,20,22,22,22,21,20
10,28,6,10,16,18,20,20,21,20,20
12,44,5,7,14,16,18,19,19,20,20
14,54,4,6,11,14,17,18,19,19,20
16,46,4,6,10,14,16,18,19,19,19
