Positive AOA,,Velocity=,17.7,Pressure Static=,14,Angle of Manometer,30,Chord Length (cm),6.5,
AoA,1,2,3,4,5,6,7,8,9,10
0,0,23,25,24,25,23,22,20,18,16
2,0,34,34,30,29,26,24,22,18,17
4,2,42,40,35,32,28,25,21,18,13
6,8,48,45,38,34,29,25,22,19,16
8,19,54,48,42,34,28,24,21,18,16
10,30,58,52,48,34,29,24,21,18,16
12,36,65,42,52,34,29,24,21,19,16
14,24,42,32,42,33,27,25,23,22,12
16,19,32,35,35,31,29,27,25,24,12
Negative AOA,,,,,,,,,,
AoA,,,,Pressure Static=,16,,,,,
0,0,26,28,28,27,26,24,22,21,20
2,0,20,22,25,24,24,23,22,20,19
4,0,15,18,22,22,22,21,21,20,19
6,6,10,14,19,20,20,20,20,19,18
8,15,6,10,16,17,19,19,19,18,18
10,26,4,7,13,15,16,17,18,17,17
12,38,2,5,11,12,15,16,17,17,17
14,48,2,4,9,12,14,15,16,16,16
16,34,2,5,8,11,14,15,16,16,16
