Positive AoA,,Velocity=,17,Pressure Static,14,Angle of Manometer,30,Chord Length ,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
AoA,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2.4,2.6,2.4,2.4,2.2,2,2,1.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,
2,0,3.4,3.4,3,2.9,2.6,2.4,2.1,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
4,0.5,4.1,4,3.4,3,2.7,2.4,2.1,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
6,1.2,5,4.6,3.8,3.3,2.8,2.4,2.1,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
8,2.3,5.4,4.9,4.6,3.3,2.8,2.4,2.2,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
10,3.2,5.8,5.4,5.3,3.4,2.8,2.4,2.1,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
12,3.8,6.3,6.3,5.4,3.3,2.8,2.3,2,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
14,2.3,3.8,3.8,4,3.2,2.8,2.6,2.4,2.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,
16,1.8,3.2,3.2,3.4,3,2.8,2.6,2.4,2.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,
Negative AoA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AoA,,,,Pressure Static,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2.4,2.6,2.4,2.4,2.2,2,2,1.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,2.3,2,2.4,2.2,2,2,1.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,
4,0.1,1.2,1.6,1.9,2.1,2,2,1.9,1.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,
6,0.7,0.7,1.2,1.6,1.8,1.9,1.9,1.8,1.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
8,1.4,0.5,0.8,1.4,1.6,1.8,1.8,1.8,1.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
