Continuous Data Log,,,,,,,,,,,,,,,,,,,,,,,,,,
Started: 04-Feb-20 14:21:35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,SPEED,THRUST,THROTTLE,AIR VOL. FLOW,AIR MASS FLOW,AIR DENSITY,FUEL VOL. FLOW,FUEL MASS FLOW,FUEL DENSITY,AFR,BAROMETRIC,ORIFICE DELTA,PS COMP. IN,PS DIFF. IN,PS DIFF. OUT,PT DIFF. OUT,PT NOZZLE IN,PT EXHAUST,T AIR,T FUEL,T COMP. IN,T DIFF. IN,T DIFF. OUT,T NOZZLE IN,T TURBINE OUT,T EXHAUST
HH:MM:SS,RPS,N,%,l/s,g/s,g/l,ml/s,g/s,g/cm3,,mBarA,Pa,BarG,BarG,BarG,BarG,BarG,BarG,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,,,,,,,,,,,,,
14:21:35,0,10,0.3,108.8,133.2,1.2237,7,5.25,0.75,25.4,1020.56,141.94,-0.01,0.15,0.17,0.17,0.16,0.02,17.4,16.6,19.1,36.8,36.4,588.8,596.9,488
14:21:36,0,9.1,0.3,111.4,136.2,1.2228,11,8.25,0.75,16.5,1020.56,107.19,-0.01,0.14,0.17,0.17,0.16,0.02,17.7,16.3,19.6,35.4,36.6,588.7,595.6,488.4
14:21:37,0,9.7,0.3,96.8,118.3,1.2216,9.997,7.498,0.75,15.8,1020.56,128.92,-0.01,0.14,0.17,0.17,0.16,0.02,17.9,16.2,19.6,36.6,37,589.7,597.7,489.5
14:21:38,0,10.5,0.3,106.2,129.7,1.2213,8.999,6.749,0.75,19.2,1020.56,155.2,-0.01,0.14,0.17,0.17,0.16,0.02,18,16,19.6,35.1,37.3,591.6,598.9,490.5
14:21:39,0,9.3,0.2,116.4,142.5,1.2249,9,6.75,0.75,21.1,1020.58,148.33,-0.01,0.14,0.17,0.17,0.16,0.02,17.2,17,20.2,35.6,37.1,594.3,598.7,491.3
14:21:40,0,10.4,0.5,113.9,139.1,1.221,10.999,8.249,0.75,16.9,1020.58,150.84,-0.01,0.14,0.17,0.17,0.16,0.02,18.1,16.4,19.6,36,37.8,593.7,599.6,491.7
14:21:41,0,8.7,0,114.8,140.4,1.2234,9.998,7.498,0.75,18.7,1020.58,64.71,-0.01,0.14,0.17,0.17,0.16,0.02,17.5,16.9,20.2,36.6,37.1,594.3,600,491.6
14:21:42,0,9.8,0.2,75.1,92.1,1.2252,9.999,7.499,0.75,12.3,1020.58,107.89,-0.01,0.14,0.17,0.17,0.16,0.02,17.1,16,20.3,38.4,37.8,595.2,599.7,492.2
14:21:43,0,9.3,6.7,97.1,118.8,1.224,9,6.75,0.75,17.6,1020.58,168.83,-0.01,0.14,0.17,0.17,0.16,0.02,17.4,16.9,19.7,35.5,37.1,595.1,600.8,492.8
14:21:44,0,10.8,15.6,121.5,148.5,1.2228,7.999,5.999,0.75,24.8,1020.58,171.28,-0.01,0.25,0.27,0.29,0.27,0.05,17.7,16.8,20.5,37.9,37.7,605.6,621.7,509.7
14:21:45,0,15.1,15.5,122.3,149.7,1.224,9.999,7.499,0.75,20,1020.58,251.79,-0.02,0.35,0.39,0.43,0.38,0.07,17.4,17.4,20.6,38.7,39.9,640.8,677.9,569
14:21:46,0,23.6,15.5,148.3,181.3,1.2225,12.003,9.003,0.75,20.1,1020.58,349.95,-0.03,0.41,0.47,0.52,0.45,0.08,17.7,15.7,20.8,47.1,45.5,647.8,691.2,589.8
14:21:47,0,28.9,15.5,174.8,213.7,1.2231,10.994,8.245,0.75,25.9,1020.58,347.48,-0.03,0.44,0.5,0.57,0.48,0.08,17.6,16.1,19.8,53.2,50.8,608.4,660.9,555.7
14:21:48,0,30.4,15.5,174.1,213.1,1.224,10.999,8.249,0.75,25.8,1020.6,374.83,-0.03,0.41,0.47,0.54,0.46,0.07,17.4,16.5,20.3,61.8,56.4,570.4,622.3,523.7
14:21:49,0,28.4,15.5,180.8,221.2,1.2234,8.999,6.749,0.75,32.8,1020.6,356.35,-0.03,0.41,0.47,0.53,0.45,0.07,17.5,17.8,20.4,62.3,58.4,540.9,594.4,500
14:21:51,0,29.3,15.4,176.6,215.4,1.2198,10,7.5,0.75,28.7,1020.6,423.15,-0.03,0.41,0.46,0.52,0.45,0.07,18.4,16,20.2,58.7,59,526.4,596.7,493.6
14:21:52,0,29.4,15.5,192.2,235,1.2228,8.999,6.749,0.75,34.8,1020.6,289.27,-0.03,0.41,0.46,0.52,0.45,0.07,17.7,17.1,20.4,57.4,59.4,515.3,595.9,491.2
14:21:53,0,28.2,15.5,158.9,194.4,1.2231,8.999,6.749,0.75,28.8,1020.6,372.46,-0.03,0.41,0.46,0.52,0.45,0.07,17.6,16.4,20.7,60.3,60.1,509,596,488.5
14:21:54,0,29.3,15.4,180.2,220.5,1.2237,8.999,6.749,0.75,32.7,1020.6,365.26,-0.03,0.41,0.47,0.52,0.45,0.07,17.5,15.9,21.4,60.7,60,506.7,596.5,489.4
