得,(complement particle),de,[sound:得.mp3]
等,to wait; rank; equal; etc.,děng,[sound:等.mp3]
死,to die; dead; fixed; impassible; extremely,sǐ,[sound:死.mp3]
与,(formal) and; to give; together with; participate; final particle expressing doubt or surprise,yǔ,[sound:与.mp3]
而,and; but; yet; while (Kangxi radical 126),ér,[sound:而.mp3]
之,(literary equivalent to 的); (pronoun); of,zhī,[sound:之.mp3]
活动,activity; exercise; move about,huó dòng,[sound:活动.mp3]
生活,life; livelihood; to live,shēng huó,[sound:生活.mp3]
幸福,happy; blessed; fortunate,xìng fú,[sound:幸福.mp3]
呀,"ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)",ya,[sound:呀.mp3]
转,to turn; to change; pass on | revolve; rotate,zhuǎn | zhuàn,[sound:转.mp3]
当,should; act as; work as; manage; match; (sound of bells),dāng,[sound:当.mp3]
却,but; yet; however,què,[sound:却.mp3]
无,have not; without; not (Kangxi radical 71),wú,[sound:无.mp3]
感觉,to feel; become aware of; feeling,gǎn jué,[sound:感觉.mp3]
地址,address,dì zhǐ,[sound:地址.mp3]
开心,feel happy; have a great time; make fun of somebody,kāi xīn,[sound:开心.mp3]
以,to use; according to; so as to; for; by,yǐ,[sound:以.mp3]
支持,sustain; hold out; | support; stand by (e.g. international support),zhī chí,[sound:支持.mp3]
不过,only; merely; but; however,bú guò,[sound:不过.mp3]
刚,just (indicating the immediate past); recently; firm,gāng,[sound:刚.mp3]
座,"(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation",zuò,[sound:座.mp3]
爱情,(romantic) love,ài qíng,[sound:爱情.mp3]
永远,forever; eternal; always,yǒng yuǎn,[sound:永远.mp3]
原来,original; former; as it turns out,yuán lái,[sound:原来.mp3]
心情,mood; state of mind,xīn qíng,[sound:心情.mp3]
一切,all; every; everything,yí qiè,[sound:一切.mp3]
获得,obtain; acquire; to gain,huò dé,[sound:获得.mp3]
继续,to continue; to go on; to proceed,jì xù,[sound:继续.mp3]
连,even; including; join,lián,[sound:连.mp3]
各,each; every,gè,[sound:各.mp3]
可是,but; however,kě shì,[sound:可是.mp3]
挺,straighten up; stick out; rather (good); very,tǐng,[sound:挺.mp3]
陪,accompany; keep company,péi,[sound:陪.mp3]
行,walk; be current; do; will do; okay,xíng,[sound:行.mp3]
所有,all; to have; to possess,suǒ yǒu,[sound:所有.mp3]
梦,to dream,mèng,[sound:梦.mp3]
感谢,thank; be grateful,gǎn xiè,[sound:感谢.mp3]
成功,success; to succeed,chéng gōng,[sound:成功.mp3]
结果,result; outcome; finally,jié guǒ,[sound:结果.mp3]
只要,so long as; if only; provided that,zhǐ yào,[sound:只要.mp3]
内,inside; inner; internal; within,nèi,[sound:内.mp3]
拉,to pull; to play (string instruments); to drag,lā,[sound:拉.mp3]
以为,think (mistakenly); consider (that); believe,yǐ wéi,[sound:以为.mp3]
掉,to drop; to fall,diào,[sound:掉.mp3]
成为,become; turn into,chéng wéi,[sound:成为.mp3]
最好,the best; had better ...; it would be best,zuì hǎo,[sound:最好.mp3]
毛,hair; fur; feather; dime (Kangxi radical 82),máo,[sound:毛.mp3]
帅,handsome; graceful; commander-in-chief,shuài,[sound:帅.mp3]
场,"courtyard; place; field; (mw for games, performances, etc.)",chǎng,[sound:场.mp3]
生命,life,shēng mìng,[sound:生命.mp3]
好像,as if; seem to be,hǎo xiàng,[sound:好像.mp3]
价格,price,jià gé,[sound:价格.mp3]
真正,genuine; real; true,zhēn zhèng,[sound:真正.mp3]
干,to concern; shield; dry; clean (Kangxi radical 51),gān,[sound:干.mp3]
来自,come from (a place),lái zì,[sound:来自.mp3]
出现,appear; arise; emerge,chū xiàn,[sound:出现.mp3]
秒,second (unit of time or angle),miǎo,[sound:秒.mp3]
节,section; part; festival; moral integrity; save; (mw for class periods),jié,[sound:节.mp3]
重,heavy; serious; important,zhòng,[sound:重.mp3]
免费,free (of charge); no cost,miǎn fèi,[sound:免费.mp3]
抱,to hold; to hug; carry in one's arms; to cradle,bào,[sound:抱.mp3]
