种,type; breed; race; seed,zhǒng,[sound:种.mp3]
终于,at last; in the end; finally,zhōng yú,[sound:终于.mp3]
拿,carry in your hand; seize; to catch,ná,[sound:拿.mp3]
突然,sudden; abrupt,tū rán,[sound:突然.mp3]
向,direction; towards; to turn; to face,xiàng,[sound:向.mp3]
短,"short (in length, duration, or height); lack",duǎn,[sound:短.mp3]
离开,leave; depart,lí kāi,[sound:离开.mp3]
欢迎,to welcome; greet,huān yíng,[sound:欢迎.mp3]
楼,story; floor; (multi-story) building (noun),lóu,[sound:楼.mp3]
极,an extreme; pole; very,jí,[sound:极.mp3]
矮,short; low,ǎi,[sound:矮.mp3]
方便,convenient,fāng biàn,[sound:方便.mp3]
动物,animal,dòng wù,[sound:动物.mp3]
借,lend; borrow; excuse,jiè,[sound:借.mp3]
变化,change,biàn huà,[sound:变化.mp3]
打算,to intend/intend&nbsp;,dǎ suàn,[sound:打算.mp3]
季节,season; time; period,jì jié,[sound:季节.mp3]
冰箱,refrigerator,bīng xiāng,[sound:冰箱.mp3]
搬,to move; to transport,bān,[sound:搬.mp3]
客人,guest; customer,kè rén,[sound:客人.mp3]
打扫,to clean; to sweep,dǎ sǎo,[sound:打扫.mp3]
盘子,plate; dish; tray,pán zi,[sound:盘子.mp3]
黄河,The Yellow River,huáng hé,[sound:黄河.mp3]
刮风,windy; to blow (wind),guā fēng,[sound:刮风.mp3]
而,on the other hand/and/but/yet,ér,[sound:而.mp3]
却,but; yet; however,què,[sound:却.mp3]
永远,forever; eternal; always,yǒng yuǎn,[sound:永远.mp3]
内,inside; inner; internal; within,nèi,[sound:内.mp3]
成为,To become; turn into,chéng wéi,[sound:成为.mp3]
场,"courtyard; place; field; (mw for games, performances, storm ect)",chǎng,[sound:场.mp3]
价格,price,jià gé,[sound:价格.mp3]
敢,to dare,gǎn,[sound:敢.mp3]
香,fragrant; savory,xiāng,[sound:香.mp3]
坚持,persist in; persevere,jiān chí,[sound:坚持.mp3]
光,light; ray; bright; only; merely; used up,guāng,[sound:光.mp3]
肯定,undoubtedly/definitely/It's must be that...,Kěn dìng,[sound:肯定.mp3]
深,deep; profound; dark (of colors),shēn,[sound:深.mp3]
醒,wake up/sober up/regain consciousness,xǐng,[sound:醒.mp3]
