的,"indicates possession, like adding 's to a noun",de,[sound:的.mp3]
我,I; me,wǒ,[sound:我.mp3]
了,indicates a completed or finished action,le,[sound:了.mp3]
你,you (singular),nǐ,[sound:你.mp3]
是,be; is; are; am,shì,[sound:是.mp3]
在,at; on; in; indicates an action in progress,zài,[sound:在.mp3]
有,have,yǒu,[sound:有.mp3]
不,no; not,bù,[sound:不.mp3]
个,general measure word,ge,[sound:个.mp3]
好,good,hǎo,[sound:好.mp3]
人,person; man; people,rén,[sound:人.mp3]
都,all; both,dōu,[sound:都.mp3]
这,this,zhè,[sound:这.mp3]
去,to go,qù,[sound:去.mp3]
说,speak,shuō,[sound:说.mp3]
和,and; with,hé,[sound:和.mp3]
很,very; quite,hěn,[sound:很.mp3]
会,know how to,huì,[sound:会.mp3]
看,see; look at; to watch,kàn,[sound:看.mp3]
来,come; arrive; ever since; next,lái,[sound:来.mp3]
上,above; up,shàng,[sound:上.mp3]
想,think; believe; suppose; would like to,xiǎng,[sound:想.mp3]
他,he; him,tā,[sound:他.mp3]
我们,we; us,wǒ men,[sound:我们.mp3]
爱,love,ài,[sound:爱.mp3]
大,big; large,dà,[sound:大.mp3]
太,too (much),tài,[sound:太.mp3]
吃,eat,chī,[sound:吃.mp3]
年,year,nián,[sound:年.mp3]
没有,not have; there is not,méi yǒu,[sound:没有.mp3]
那,that; then,nà,[sound:那.mp3]
能,can; be able,néng,[sound:能.mp3]
做,do; make,zuò,[sound:做.mp3]
小,small; young,xiǎo,[sound:小.mp3]
什么,what? (replaces the noun to turn a statement into a question),shén me,[sound:什么.mp3]
今天,today,jīn tiān,[sound:今天.mp3]
呢,indicates a question; how about...?;,ne,[sound:呢.mp3]
喜欢,to like,xǐ huan,[sound:喜欢.mp3]
吗,indicates a yes/no question (added to a statement),ma,[sound:吗.mp3]
下,fall; below,xià,[sound:下.mp3]
她,she,tā,[sound:她.mp3]
现在,now,xiàn zài,[sound:现在.mp3]
时候,time,shí hou,[sound:时候.mp3]
里,inside; Chinese mile (~.5 km),lǐ,[sound:里.mp3]
月,moon; month,yuè,[sound:月.mp3]
谁,who,shéi,[sound:谁.mp3]
怎么,how?,zěn me,[sound:怎么.mp3]
家,family; home (mw for families or businesses),jiā,[sound:家.mp3]
买,to buy,mǎi,[sound:买.mp3]
请,please; invite; to treat someone to something,qǐng,[sound:请.mp3]
叫,to be called,jiào,[sound:叫.mp3]
