"ah; (particle showing elation, doubt, puzzled surprise, or approval)",啊
oneself; self,自己
still; yet; in addition; even,还
(once) again; also; both (Kangxi radical 29),又
to pass; to cross; go over; (indicates a past experience),过
by (indicates passive voice sentences); a quilt/blanket,被
(mw for things with handles); (pretransitive particle); to hold,把
for; because of; to; for the sake of,为
or; still; nevertheless; had better,还是
to use (Kangxi radical 101),用
Chinese monetary unit; dollar; first; principal,元
earth; ground | (adverbial particle),地
ability; talent; just now; not until,才
if; in the event that,如果
but; only; merely; just | (mw for birds and certain animals),只
to follow; go with; heel,跟
more; even more,更
type; breed; race; seed,种
be like; resemble; appearance; appear,像
old; aged; tough; often (Kangxi radical 125),老
surely; certainly; necessarily; definite,一定
other people; others,别人
actually; in fact,其实
long; length | grow; chief (Kangxi radical 168),长
band; belt; ribbon; carry; bring; take along; bring up (kids),带
world,世界
send out; to issue; to show (one's feelings) | hair,发
(beginning or continuing an action); to rise; get up (from bed),起来
always; all along; straight (in a straight line),一直
to need; to want; to demand,需要
discover; to find,发现
position; location; (polite mw for people),位
last; final; ultimately,最后
put; to place; to release; to free,放
at last; in the end; finally,终于
(mw for flat objects); to spread out; (common surname),张
the same; alike; equal to,一样
should; ought to; must,应该
then; afterwards,然后
divide; part; minute; cent | component; share; ingredient,分
only,只有
first; early; before,先
even more; the more; exceed,越
strip; (mw for long thin objects); item,条
carry in your hand; seize; to catch,拿
"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",包
flower; blossom; spend money; cost,花
cute; lovely,可爱
two; double; (mw for pairs),双
cry; weep,哭
in order to; for the sake of; for the purpose of,为了
sudden; abrupt,突然
important; significant; major,重要
remember,记得
to work hard; to strive,努力
must; have to,必须
in the past; formerly,过去
recently; lately; these days,最近
always; eventually,总是
"place; space; room; part, (fāng: local; regional)",地方
game; play; recreation,游戏
city or town,城市
change; to exchange; to barter; to trade,换
select; to pick; choose,选择
face,脸
direction; towards; to turn; to face,向
participate; join; take part in,参加
believe (sb.); be convinced of,相信
"short (in length, duration, or height); lack",短
easy; likely; liable (to),容易
opportunity; chance; occasion,机会
to talk; to lecture; to explain; a speech,讲
rice; meter (Kangxi radical 119),米
difficult,难
stand; a station; be on one's feet; service center,站
mouth (Kangxi radical 30),口
simple; not complicated,简单
picture; photograph,照片
pay attention to; take notice of; be careful,注意
health; healthy,健康
hungry,饿
to complete; accomplish; to fulfill,完成
before; formerly; previous,以前
special; especially; particular,特别
moreover; in addition; as well as,而且
or; possible; maybe; perhaps,或者
habit; be accustomed to; usual practice,习惯
autumn; fall; harvest time,秋
compare; contrast; relatively,比较
thin; tight; lean,瘦
half; semi-; incomplete,半
forget,忘记
horse (Kangxi radical 187),马
ache; sore; (it) hurts; love fondly,疼
decide; resolve,决定
story; tale,故事
differ from; fall short of; poor; inferior,差
connect; to meet; to pick up (somebody); to receive,接
West (Kangxi radical 146),西
team; class; squad,班
country; state; nation,国家
other; else,其他
clear; obvious; understand; explicit,明白
get married,结婚
music,音乐
leg,腿
foot (body part),脚
to meet; run into; come across,遇到
leave; depart,离开
draw; picture; painting,画
spring (season); joyful,春
to welcome; greet,欢迎
story; floor; (multi-story) building,楼
be willing; want to; be ready,愿意
winter,冬
long (time),久
bird (Kangxi radical 196),鸟
besides; except for; aside from; in addition to,除了
to end; to finish; conclude,结束
general; ordinary; common; same,一般
comprehend; understand; know; find out,了解
paragraph; segment; section,段
to request; to demand; requirement,要求
believe; think that,认为
often; frequently; daily,经常
to try; to test; examination,试
grass; straw; draft (of a document),草
at once; immediately; right away,马上
fat; plump,胖
news,新闻
influence; affect; effect,影响
hair (on the head),头发
gift; present,礼物
culture; civilization,文化
catch cold; (common) cold,感冒
sound; voice,声音
teach; instruct | religion; teaching,教
relation; to concern,关系
of course; naturally,当然
bad; broken,坏
mouth,嘴
be careful,小心
settle (a dispute); resolve; solve,解决
to pass; go through; as a result of,经过
young,年轻
East,东
blue,蓝
method; way (of doing something),办法
clear; distinct; be clear about,清楚
the sun,太阳
afraid of; to fear,害怕
bowl; cup,碗
afterwards; after; later,后来
be grieved; be sad; have a hard time,难过
program; item (on a program),节目
"how (wonderful, etc.); what (a great idea)",多么
history,历史
environment; surroundings,环境
comfortable; feeling well,舒服
serious; earnest; take seriously,认真
tree,树
to help,帮忙
concerned about/with,关心
colleague; co-worker,同事
one side; on the one hand; at the same time,一边
just now; a moment ago,刚才
an extreme; pole; very,极
cake,蛋糕
intelligent; clever; bright; smart,聪明
bank,银行
about; regarding; concerning,关于
subway,地铁
"(mw for layers, floors of buildings)",层
to reply; to answer,回答
lamp; light,灯
(sports) match; competition,比赛
main; principal; major,主要
to close; shut; concern; relationship; turn off; mountain pass,关
angry; mad,生气
South,南
school assignment; homework; task,作业
agree; to consent; approve,同意
(mw for vehicles),辆
to surf the web; to go online,上网
sweet,甜
short; low,矮
green,绿
bathe; take a bath or shower; bath or shower,洗澡
to chat,聊天
take care of; look after; give consideration,照顾
quiet; peaceful; calm,安静
convenient,方便
grandma; (informal) paternal grandmother,奶奶
a boat; vessel; ship,船
"fresh (experience, food, etc.); new; novel",新鲜
animal,动物
lend; borrow; excuse,借
clean; neat and tidy,干净
eat until full; satisfied,饱
mathematics,数学
cordial; warm; enthusiastic,热情
to raise; heighten; improve,提高
driver; chauffeur,司机
change,变化
strange; odd,奇怪
office,办公室
to plan; intend,打算
almost,几乎
level; standard; horizontal,水平
old; past; used,旧
summer,夏
the moon,月亮
to ride (an animal or bike); to sit astride,骑
center; middle; between; among,中间
(in the) vicinity; nearby; neighboring,附近
according to; based on; basis,根据
holiday; festival,节日
