啊

(a),ah; (particle showing elation, doubt, puzzled surprise, or approval)%自己

(zì jǐ),oneself; self%还

(hái),still; yet; in addition; even%又

(yòu),(once) again; also; both (Kangxi radical 29)%过

(guò),to pass; to cross; go over; (indicates a past experience)%被

(bèi),by (indicates passive voice sentences); a quilt/blanket%把

(bǎ),(mw for things with handles); (pretransitive particle); to hold%为

(wèi),for; because of; to; for the sake of%还是

(hái shi),or; still; nevertheless; had better%用

(yòng),to use (Kangxi radical 101)%元

(yuán),Chinese monetary unit; dollar; first; principal%地

(dì | de),earth; ground | (adverbial particle)%才

(cái),ability; talent; just now; not until%如果

(rú guǒ),if; in the event that%只

(zhī | zhǐ),but; only; merely; just | (mw for birds and certain animals)%跟

(gēn),to follow; go with; heel%更

(gèng),more; even more%种

(zhǒng),type; breed; race; seed%像

(xiàng),be like; resemble; appearance; appear%老

(lǎo),old; aged; tough; often (Kangxi radical 125)%一定

(yí dìng),surely; certainly; necessarily; definite%别人

(bié ren),other people; others%其实

(qí shí),actually; in fact%长

(cháng | zhǎng),long; length | grow; chief (Kangxi radical 168)%带

(dài),band; belt; ribbon; carry; bring; take along; bring up (kids)%世界

(shì jiè),world%发

(fā | fà),send out; to issue; to show (one's feelings) | hair%起来

(qǐ lai),(beginning or continuing an action); to rise; get up (from bed)%一直

(yì zhí),always; all along; straight (in a straight line)%需要

(xū yào),to need; to want; to demand%发现

(fā xiàn),discover; to find%位

(wèi),position; location; (polite mw for people)%最后

(zuì hòu),last; final; ultimately%放

(fàng),put; to place; to release; to free%终于

(zhōng yú),at last; in the end; finally%张

(zhāng),(mw for flat objects); to spread out; (common surname)%一样

(yí yàng),the same; alike; equal to%应该

(yīng gāi),should; ought to; must%然后

(rán hòu),then; afterwards%分

(fēn | fèn),divide; part; minute; cent | component; share; ingredient%只有

(zhǐ yǒu),only%先

(xiān),first; early; before%越

(yuè),even more; the more; exceed%条

(tiáo),strip; (mw for long thin objects); item%拿

(ná),carry in your hand; seize; to catch%包

(bāo),to cover; to wrap; to hold; include; (mw for containers, packages, etc.)%花

(huā),flower; blossom; spend money; cost%可爱

(kě ài),cute; lovely%双

(shuāng),two; double; (mw for pairs)%哭

(kū),cry; weep%为了

(wèi le),in order to; for the sake of; for the purpose of%突然

(tū rán),sudden; abrupt%重要

(zhòng yào),important; significant; major%记得

(jì de),remember%努力

(nǔ lì),to work hard; to strive%必须

(bì xū),must; have to%过去

(guò qù),in the past; formerly%最近

(zuì jìn),recently; lately; these days%总是

(zǒng shì),always; eventually%地方

(dì fang),place; space; room; part, (fāng: local; regional)%游戏

(yóu xì),game; play; recreation%城市

(chéng shì),city or town%换

(huàn),change; to exchange; to barter; to trade%选择

(xuǎn zé),select; to pick; choose%脸

(liǎn),face%向

(xiàng),direction; towards; to turn; to face%参加

(cān jiā),participate; join; take part in%相信

(xiāng xìn),believe (sb.); be convinced of%短

(duǎn),short (in length, duration, or height); lack%容易

(róng yì),easy; likely; liable (to)%机会

(jī huì),opportunity; chance; occasion%讲

(jiǎng),to talk; to lecture; to explain; a speech%米

(mǐ),rice; meter (Kangxi radical 119)%难

(nán),difficult%站

(zhàn),stand; a station; be on one's feet; service center%口

(kǒu),mouth (Kangxi radical 30)%简单

(jiǎn dān),simple; not complicated%照片

(zhào piàn),picture; photograph%注意

(zhù yì),pay attention to; take notice of; be careful%健康

(jiàn kāng),health; healthy%饿

(è),hungry%完成

(wán chéng),to complete; accomplish; to fulfill%以前

(yǐ qián),before; formerly; previous%特别

(tè bié),special; especially; particular%而且

(ér qiě),moreover; in addition; as well as%或者

(huò zhě),or; possible; maybe; perhaps%习惯

(xí guàn),habit; be accustomed to; usual practice%秋

(qiū),autumn; fall; harvest time%比较

(bǐ jiào),compare; contrast; relatively%瘦

(shòu),thin; tight; lean%半

(bàn),half; semi-; incomplete%忘记

(wàng jì),forget%马

(mǎ),horse (Kangxi radical 187)%疼

(téng),ache; sore; (it) hurts; love fondly%决定

(jué dìng),decide; resolve%故事

(gù shi),story; tale%差

(chà),differ from; fall short of; poor; inferior%接

(jiē),connect; to meet; to pick up (somebody); to receive%西

(xī),West (Kangxi radical 146)%班

(bān),team; class; squad%国家

(guó jiā),country; state; nation%其他

(qí tā),other; else%明白

(míng bai),clear; obvious; understand; explicit%结婚

(jié hūn),get married%音乐

(yīn yuè),music%腿

(tuǐ),leg%脚

(jiǎo),foot (body part)%遇到

(yù dào),to meet; run into; come across%离开

(lí kāi),leave; depart%画

(huà),draw; picture; painting%春

(chūn),spring (season); joyful%欢迎

(huān yíng),to welcome; greet%楼

(lóu),story; floor; (multi-story) building%愿意

(yuàn yì),be willing; want to; be ready%冬

(dōng),winter%久

(jiǔ),long (time)%鸟

(niǎo),bird (Kangxi radical 196)%除了

(chú le),besides; except for; aside from; in addition to%结束

(jié shù),to end; to finish; conclude%一般

(yì bān),general; ordinary; common; same%了解

(liǎo jiě),comprehend; understand; know; find out%段

(duàn),paragraph; segment; section%要求

(yāo qiú),to request; to demand; requirement%认为

(rèn wéi),believe; think that%经常

(jīng cháng),often; frequently; daily%试

(shì),to try; to test; examination%草

(cǎo),grass; straw; draft (of a document)%马上

(mǎ shàng),at once; immediately; right away%胖

(pàng),fat; plump%新闻

(xīn wén),news%影响

(yǐng xiǎng),influence; affect; effect%头发

(tóu fa),hair (on the head)%礼物

(lǐ wù),gift; present%文化

(wén huà),culture; civilization%感冒

(gǎn mào),catch cold; (common) cold%声音

(shēng yīn),sound; voice%教

(jiāo | jiào),teach; instruct | religion; teaching%关系

(guān xi),relation; to concern%当然

(dāng rán),of course; naturally%坏

(huài),bad; broken%嘴

(zuǐ),mouth%小心

(xiǎo xīn),be careful%解决

(jiě jué),settle (a dispute); resolve; solve%经过

(jīng guò),to pass; go through; as a result of%年轻

(nián qīng),young%东

(dōng),East%蓝

(lán),blue%办法

(bàn fǎ),method; way (of doing something)%清楚

(qīng chu),clear; distinct; be clear about%太阳

(tài yáng),the sun%害怕

(hài pà),afraid of; to fear%碗

(wǎn),bowl; cup%后来

(hòu lái),afterwards; after; later%难过

(nán guò),be grieved; be sad; have a hard time%节目

(jié mù),program; item (on a program)%多么

(duō me),how (wonderful, etc.); what (a great idea)%历史

(lì shǐ),history%环境

(huán jìng),environment; surroundings%舒服

(shū fu),comfortable; feeling well%认真

(rèn zhēn),serious; earnest; take seriously%树

(shù),tree%帮忙

(bāng máng),to help%关心

(guān xīn),concerned about/with%同事

(tóng shì),colleague; co-worker%一边

(yì biān),one side; on the one hand; at the same time%刚才

(gāng cái),just now; a moment ago%极

(jí),an extreme; pole; very%蛋糕

(dàn gāo),cake%聪明

(cōng ming),intelligent; clever; bright; smart%银行

(yín háng),bank%关于

(guān yú),about; regarding; concerning%地铁

(dì tiě),subway%层

(céng),(mw for layers, floors of buildings)%回答

(huí dá),to reply; to answer%灯

(dēng),lamp; light%比赛

(bǐ sài),(sports) match; competition%主要

(zhǔ yào),main; principal; major%关

(guān),to close; shut; concern; relationship; turn off; mountain pass%生气

(shēng qì),angry; mad%南

(nán),South%作业

(zuò yè),school assignment; homework; task%同意

(tóng yì),agree; to consent; approve%辆

(liàng),(mw for vehicles)%上网

(shàng wǎng),to surf the web; to go online%甜

(tián),sweet%矮

(ǎi),short; low%绿

(lǜ),green%洗澡

(xǐ zǎo),bathe; take a bath or shower; bath or shower%聊天

(liáo tiān),to chat%照顾

(zhào gu),take care of; look after; give consideration%安静

(ān jìng),quiet; peaceful; calm%方便

(fāng biàn),convenient%奶奶

(nǎi nai),grandma; (informal) paternal grandmother%船

(chuán),a boat; vessel; ship%新鲜

(xīn xiān),fresh (experience, food, etc.); new; novel%动物

(dòng wù),animal%借

(jiè),lend; borrow; excuse%干净

(gān jìng),clean; neat and tidy%饱

(bǎo),eat until full; satisfied%数学

(shù xué),mathematics%热情

(rè qíng),cordial; warm; enthusiastic%提高

(tí gāo),to raise; heighten; improve%司机

(sī jī),driver; chauffeur%变化

(biàn huà),change%奇怪

(qí guài),strange; odd%办公室

(bàn gōng shì),office%打算

(dǎ suàn),to plan; intend%几乎

(jī hū),almost%水平

(shuǐ píng),level; standard; horizontal%旧

(jiù),old; past; used%夏

(xià),summer%月亮

(yuè liang),the moon%骑

(qí),to ride (an animal or bike); to sit astride%中间

(zhōng jiān),center; middle; between; among%附近

(fù jìn),(in the) vicinity; nearby; neighboring%根据

(gēn jù),according to; based on; basis%节日

(jié rì),holiday; festival%成绩

(chéng jì),achievement; success; results (of work or study)%见面

(jiàn miàn),meet/see somebody; meeting%香蕉

(xiāng jiāo),banana%复习

(fù xí),revise; to review%阿姨

(ā yí),auntie; step-mother; mother's younger sister%迟到

(chí dào),arrive late%放心

(fàng xīn),relax; feel relieved; rest assured%中文

(zhōng wén),Chinese (language)%爷爷

(yé ye),(informal) father's father; paternal grandfather%耳朵

(ěr duo),ear%裤子

(kù zi),pants; trousers%满意

(mǎn yì),satisfied; pleased%一会儿

(yí huì r),a while; a moment%面包

(miàn bāo),bread%检查

(jiǎn chá),to check; examine; inspect%鼻子

(bí zi),nose%帽子

(mào zi),hat; cap%季节

(jì jié),season; time; period%会议

(huì yì),meeting; conference%啤酒

(pí jiǔ),beer%叔叔

(shū shu),(informal) father's younger brother; uncle%体育

(tǐ yù),physical training; sports%角

(jiǎo | jué),horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater)%锻炼

(duàn liàn),to exercise; work out; toughen; to temper%饮料

(yǐn liào),beverage; drink%公园

(gōng yuán),public park%图书馆

(tú shū guǎn),library%冰箱

(bīng xiāng),refrigerator%搬

(bān),to move; to transport%衬衫

(chèn shān),shirt; blouse%熊猫

(xióng māo),panda%刻

(kè),quarter (hour); (mw for short time intervals); carve; to cut%伞

(sǎn),umbrella; parasol%笔记本

(bǐ jì běn),notebook%自行车

(zì xíng chē),bike; bicycle%电梯

(diàn tī),elevator%空调

(kōng tiáo),air conditioning%经理

(jīng lǐ),manager; director%裙子

(qún zi),skirt%练习

(liàn xí),practice; exercise%着急

(zháo jí),to worry; feel anxious%爱好

(ài hào),hobby; fond of; to like; interest%筷子

(kuài zi),chopsticks%信用卡

(xìn yòng kǎ),credit card%校长

(xiào zhǎng),principal (of school, college or university); president; headmaster%留学

(liú xué),study abroad%不但

(bú dàn),not only%感兴趣

(gǎn xìng qù),be interested in%北方

(běi fāng),north; the northern part of the country%客人

(kè rén),guest; customer%刷牙

(shuā yá),brush one's teeth%地图

(dì tú),map%邻居

(lín jū),neighbor%街道

(jiē dào),street%瓶子

(píng zi),bottle%一共

(yí gòng),altogether; in total%请假

(qǐng jià),to ask for time off%公斤

(gōng jīn),kilogram%打扫

(dǎ sǎo),to clean; to sweep%皮鞋

(pí xié),leather shoes%渴

(kě),thirsty%起飞

(qǐ fēi),take off (in an airplane); liftoff%有名

(yǒu míng),famous; well-known%句子

(jù zi),sentence%爬山

(pá shān),mountain climbing%护照

(hù zhào),passport%盘子

(pán zi),plate; dish; tray%黑板

(hēi bǎn),blackboard%黄河

(huáng hé),Yellow River%菜单

(cài dān),menu%洗手间

(xǐ shǒu jiān),toilet; lavatory; washroom%个子

(gè zi),height; stature; build%行李箱

(xíng lǐ xiāng),trunk; suitcase%年级

(nián jí),grade; year (in school)%照相机

(zhào xiàng jī),camera%刮风

(guā fēng),windy; to blow (wind)%词典

(cí diǎn),dictionary%电子邮件

(diàn zǐ yóu jiàn),email%超市

(chāo shì),supermarket%担心

(dān xīn),to worry; feel anxious%发烧

(fā shāo),have a fever%万

(wàn),ten thousand%周末

(zhōu mò),weekend%
