(complement particle),得
to wait; rank; equal; etc.,等
to die; dead; fixed; impassible; extremely,死
(formal) and; to give; together with; participate; final particle expressing doubt or surprise,与
and; but; yet; while (Kangxi radical 126),而
(literary equivalent to 的); (pronoun); of,之
activity; exercise; move about,活动
life; livelihood; to live,生活
happy; blessed; fortunate,幸福
"ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)",呀
to turn; to change; pass on | revolve; rotate,转
should; act as; work as; manage; match; (sound of bells),当
but; yet; however,却
have not; without; not (Kangxi radical 71),无
to feel; become aware of; feeling,感觉
address,地址
feel happy; have a great time; make fun of somebody,开心
to use; according to; so as to; for; by,以
sustain; hold out; | support; stand by (e.g. international support),支持
only; merely; but; however,不过
just (indicating the immediate past); recently; firm,刚
"(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation",座
(romantic) love,爱情
forever; eternal; always,永远
original; former; as it turns out,原来
mood; state of mind,心情
all; every; everything,一切
obtain; acquire; to gain,获得
to continue; to go on; to proceed,继续
even; including; join,连
each; every,各
but; however,可是
straighten up; stick out; rather (good); very,挺
accompany; keep company,陪
walk; be current; do; will do; okay,行
all; to have; to possess,所有
to dream,梦
thank; be grateful,感谢
success; to succeed,成功
result; outcome; finally,结果
so long as; if only; provided that,只要
inside; inner; internal; within,内
to pull; to play (string instruments); to drag,拉
think (mistakenly); consider (that); believe,以为
to drop; to fall,掉
become; turn into,成为
the best; had better ...; it would be best,最好
hair; fur; feather; dime (Kangxi radical 82),毛
handsome; graceful; commander-in-chief,帅
"courtyard; place; field; (mw for games, performances, etc.)",场
life,生命
as if; seem to be,好像
price,价格
genuine; real; true,真正
to concern; shield; dry; clean (Kangxi radical 51),干
come from (a place),来自
appear; arise; emerge,出现
second (unit of time or angle),秒
section; part; festival; moral integrity; save; (mw for class periods),节
heavy; serious; important,重
free (of charge); no cost,免费
to hold; to hug; carry in one's arms; to cradle,抱
to use; to make; to cause; enable; envoy; messenger,使
receive; accept; collect; to harvest,收
beautiful,美丽
any; whatever; whichever,任何
to hate; loathe; disgusting; troublesome,讨厌
after all; in the end (used in a question),到底
to dare,敢
to win; to beat; to profit,赢
complete; whole; totally,完全
"part; portion; (mw for documents, papers, jobs, etc.)",份
"to leave (behind, a message); to retain; to stay",留
to change; alter; to transform,改变
follow; from; by; through,由
fragrant; savory (Kangxi radical 186),香
persist in; persevere,坚持
express; show; indicate,表示
to shine; illuminate; according to,照
platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),台
be moved; to touch emotionally,感动
"no matter (what, how, etc.); regardless of",不管
deliver; turn over; intersect; to pay (money); friendship,交
happen; occur; take place,发生
abandon; renounce; give up,放弃
perhaps; probably; maybe,也许
feeling; emotion; sensation,感情
direct; immediate,直接
light; ray; bright; only; merely; used up,光
sure; definite; affirm; approve,肯定
bitter; miserable,苦
by means of; through (a method); pass through; via,通过
nonsense; bored; silly; stupid,无聊
full; abbreviation for Manchurian,满
fake; if; borrow | vacation; holiday,假
to suit; to fit,适合
society,社会
to wipe; to rub; to polish,擦
unexpectedly; to one's surprise; go so far as to,竟然
do; manage; to handle; make,弄
