"ah; (particle showing elation, doubt, puzzled surprise, or approval)",啊;啊,a
oneself; self,自己;自己,zì jǐ
still; yet; in addition; even,还;還,hái
(once) again; also; both (Kangxi radical 29),又;又,yòu
to pass; to cross; go over; (indicates a past experience),过;過,guò
by (indicates passive voice sentences); a quilt/blanket,被;被,bèi
(mw for things with handles); (pretransitive particle); to hold,把;把,bǎ
for; because of; to; for the sake of,为;為,wèi
or; still; nevertheless; had better,还是;還是,hái shi
to use (Kangxi radical 101),用;用,yòng
Chinese monetary unit; dollar; first; principal,元;元,yuán
earth; ground | (adverbial particle),地;地,dì | de
ability; talent; just now; not until,才;才,cái
if; in the event that,如果;如果,rú guǒ
but; only; merely; just | (mw for birds and certain animals),只;隻,zhī | zhǐ
to follow; go with; heel,跟;跟,gēn
more; even more,更;更,gèng
type; breed; race; seed,种;種,zhǒng
be like; resemble; appearance; appear,像;像,xiàng
old; aged; tough; often (Kangxi radical 125),老;老,lǎo
surely; certainly; necessarily; definite,一定;一定,yí dìng
other people; others,别人;別人,bié ren
actually; in fact,其实;其實,qí shí
long; length | grow; chief (Kangxi radical 168),长;長,cháng | zhǎng
band; belt; ribbon; carry; bring; take along; bring up (kids),带;帶,dài
world,世界;世界,shì jiè
send out; to issue; to show (one's feelings) | hair,发;發,fā | fà
(beginning or continuing an action); to rise; get up (from bed),起来;起來,qǐ lai
always; all along; straight (in a straight line),一直;一直,yì zhí
to need; to want; to demand,需要;需要,xū yào
discover; to find,发现;發現,fā xiàn
position; location; (polite mw for people),位;位,wèi
last; final; ultimately,最后;最后,zuì hòu
put; to place; to release; to free,放;放,fàng
at last; in the end; finally,终于;終於,zhōng yú
(mw for flat objects); to spread out; (common surname),张;張,zhāng
the same; alike; equal to,一样;一樣,yí yàng
should; ought to; must,应该;應該,yīng gāi
then; afterwards,然后;然后,rán hòu
divide; part; minute; cent | component; share; ingredient,分;分,fēn | fèn
only,只有;隻有,zhǐ yǒu
first; early; before,先;先,xiān
even more; the more; exceed,越;越,yuè
strip; (mw for long thin objects); item,条;條,tiáo
carry in your hand; seize; to catch,拿;拿,ná
"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",包;包,bāo
flower; blossom; spend money; cost,花;花,huā
cute; lovely,可爱;可愛,kě ài
two; double; (mw for pairs),双;雙,shuāng
cry; weep,哭;哭,kū
in order to; for the sake of; for the purpose of,为了;為了,wèi le
sudden; abrupt,突然;突然,tū rán
important; significant; major,重要;重要,zhòng yào
remember,记得;記得,jì de
to work hard; to strive,努力;努力,nǔ lì
must; have to,必须;必須,bì xū
in the past; formerly,过去;過去,guò qù
recently; lately; these days,最近;最近,zuì jìn
always; eventually,总是;總是,zǒng shì
