Prime Number,Time
2,2e-06
3,6e-06
5,4e-06
7,5e-06
11,1e-06
13,5e-06
17,2e-06
19,1.1e-05
23,2e-06
29,2e-06
31,5e-06
37,3e-06
41,3e-06
43,6e-06
47,3e-06
53,3e-06
59,7.000000000000003e-06
61,1.5e-05
67,4e-06
71,4e-06
73,6e-06
79,4e-06
83,7.000000000000003e-06
89,5e-06
97,5e-06
101,5e-06
103,1.3e-05
107,5e-06
109,5e-06
113,5e-06
127,5e-06
131,5e-06
137,1.1e-05
139,1e-05
149,7.000000000000003e-06
151,9e-06
157,8e-06
163,8e-06
167,8e-06
173,8e-06
179,9e-06
181,1e-05
191,9e-06
193,1.1e-05
197,7.000000000000003e-06
199,1.2e-05
211,1e-05
223,1.8e-05
227,1.1e-05
229,1e-05
233,1.5e-05
239,1.4e-05
241,1.4e-05
251,1.2e-05
257,9e-06
263,1.6e-05
269,1.3e-05
271,1.4e-05
277,1.4e-05
281,1e-05
283,1.1e-05
293,1.1e-05
307,1.1e-05
311,1.6e-05
313,1.5e-05
317,1.1e-05
331,4.1e-05
337,1.7e-05
347,1.5e-05
349,1.6e-05
353,1.4e-05
359,1.5e-05
367,1.5e-05
373,1.4e-05
379,1.7e-05
383,2.2e-05
389,1.5e-05
397,1.5e-05
401,1.5e-05
409,1.9e-05
419,2e-05
421,1.8e-05
431,1.8e-05
433,2.4e-05
439,1.8e-05
443,1.9e-05
449,2e-05
457,1.9e-05
461,1.9e-05
463,2e-05
467,2e-05
479,1.9e-05
487,1.9e-05
491,1.9e-05
499,1.9e-05
503,1.9e-05
509,2e-05
521,2.5e-05
523,2.9e-05
541,3.1e-05
547,0.000164
557,2.4e-05
563,2.6e-05
569,2.5e-05
571,0.000106
577,6.2e-05
587,2.6e-05
593,2.4e-05
599,2.4e-05
601,3.1e-05
607,3.8e-05
613,3e-05
617,2.5e-05
619,2.7e-05
631,2.6e-05
641,2.6e-05
643,2.7e-05
647,2.6e-05
653,2.7e-05
659,2.7e-05
661,3.3e-05
673,3e-05
677,3e-05
683,3e-05
691,3e-05
701,3.1e-05
709,3.4e-05
719,3.3e-05
727,3.3e-05
733,3.3e-05
739,3.3e-05
743,3.4e-05
751,3.4e-05
757,3.9e-05
761,3.4e-05
769,3.5e-05
773,4.8e-05
787,3.7e-05
797,3.8e-05
809,3.4e-05
811,3.5e-05
821,3.4e-05
823,3.6e-05
827,4e-05
829,0.000109
839,0.0001
853,3.8e-05
857,5.7e-05
859,4.6e-05
863,3.9e-05
877,4.1e-05
881,4.5e-05
883,4.4e-05
887,4.2e-05
907,3.4e-05
911,3.4e-05
919,3.4e-05
929,3.6e-05
937,4.3e-05
941,4.1e-05
947,4e-05
953,4.1e-05
967,4.1e-05
971,4.1e-05
977,4.2e-05
983,4.6e-05
991,4.6e-05
997,4.7e-05
1009,4.7e-05
1013,5.3e-05
1019,4.8e-05
1021,4.9e-05
1031,4.9e-05
1033,6.1e-05
1039,4.9e-05
1049,5e-05
1051,5.1e-05
1061,5e-05
1063,5.2e-05
1069,5.1e-05
1087,5.400000000000001e-05
1091,5.5e-05
1093,5.3e-05
1097,5.3e-05
1103,5.3e-05
1109,5.600000000000001e-05
1117,5.5e-05
1123,5.400000000000001e-05
1129,5.600000000000001e-05
1151,5e-05
1153,5.8e-05
1163,7.6e-05
1171,4.9e-05
1181,6.500000000000001e-05
