Date:  20:56, Saturday, February 08, 2020
Model name:BikeFrame
Study name:FEA Default Config(-Default-)
Plot type: Static displacement Displacement1
Result Type: URES 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)
1610  ,9.467e-02   ,-414.33215332  ,1488.35314941  ,25.98076057
1611  ,9.396e-02   ,-427.07348633  ,1484.93908691  ,10.26060390
1612  ,9.396e-02   ,-427.07348633  ,1484.93908691  ,-10.26060390
1613  ,9.467e-02   ,-414.33215332  ,1488.35314941  ,-25.98076057
1754  ,9.710e-02   ,-370.86550903  ,1500.00000000  ,0.00000000
1755  ,9.672e-02   ,-377.64501953  ,1498.18347168  ,19.28362846
1756  ,9.576e-02   ,-394.81134033  ,1493.58374023  ,29.54423332
1851  ,9.655e-02   ,-380.52474976  ,1497.41186523  ,0.00000000
1852  ,9.630e-02   ,-385.04443359  ,1496.20080566  ,-12.85575199
1853  ,9.566e-02   ,-396.48867798  ,1493.13427734  ,-19.69615555
1854  ,9.493e-02   ,-409.50253296  ,1489.64721680  ,-17.32050896
2002  ,9.446e-02   ,-417.99673462  ,1487.37121582  ,-6.84040260
2003  ,9.447e-02   ,-417.99673462  ,1487.37121582  ,6.84040260
2004  ,9.494e-02   ,-409.50253296  ,1489.64721680  ,17.32050896
2108  ,9.567e-02   ,-396.48867798  ,1493.13427734  ,19.69615555
2109  ,9.630e-02   ,-385.04443359  ,1496.20080566  ,12.85575199
2161  ,9.576e-02   ,-394.81134033  ,1493.58374023  ,-29.54423332
2162  ,9.672e-02   ,-377.64501953  ,1498.18347168  ,-19.28362846
6014  ,9.629e-02   ,-385.35440063  ,1496.11767578  ,-25.98076057
6078  ,9.602e-02   ,-390.18402100  ,1494.82360840  ,17.32050896
6408  ,9.529e-02   ,-403.19790649  ,1491.33654785  ,19.69615555
6412  ,9.465e-02   ,-414.64208984  ,1488.27001953  ,12.85575199
6414  ,9.440e-02   ,-419.16177368  ,1487.05895996  ,-0.00000175
7171  ,9.535e-02   ,-402.15695190  ,1491.61547852  ,-23.43237114
7173  ,9.465e-02   ,-414.64208984  ,1488.27001953  ,-12.85575104
7175  ,9.619e-02   ,-387.06683350  ,1495.65893555  ,-19.48989105
7176  ,9.571e-02   ,-395.64999390  ,1493.35900879  ,-24.62019348
7179  ,9.529e-02   ,-403.19790649  ,1491.33654785  ,-19.69615555
7181  ,9.651e-02   ,-381.34472656  ,1497.19213867  ,-16.06969070
7184  ,9.601e-02   ,-390.18402100  ,1494.82360840  ,-17.32050896
7187  ,9.664e-02   ,-379.08489990  ,1497.79760742  ,-9.64181423
7189  ,9.649e-02   ,-381.68981934  ,1497.09960938  ,6.84040260
7191  ,9.649e-02   ,-381.68981934  ,1497.09960938  ,-6.84040260
7866  ,9.571e-02   ,-395.64999390  ,1493.35900879  ,24.62019348
7867  ,9.535e-02   ,-402.15695190  ,1491.61547852  ,23.43237114
7870  ,9.651e-02   ,-381.34472656  ,1497.19213867  ,16.06969070
7871  ,9.619e-02   ,-387.06683350  ,1495.65893555  ,19.48989105
7872  ,9.664e-02   ,-379.08489990  ,1497.79760742  ,9.64181423
7875  ,9.629e-02   ,-385.35440063  ,1496.11767578  ,25.98076057
7878  ,9.700e-02   ,-372.61306763  ,1499.53173828  ,-10.26060390
7879  ,9.683e-02   ,-375.69512939  ,1498.70581055  ,0.00000000
7881  ,9.700e-02   ,-372.61306763  ,1499.53173828  ,10.26060390
8931  ,9.519e-02   ,-404.87521362  ,1490.88720703  ,-29.54423332
8932  ,9.456e-02   ,-416.16445923  ,1487.86218262  ,-16.41058159
8933  ,9.480e-02   ,-411.91735840  ,1489.00024414  ,-21.65063477
8936  ,9.421e-02   ,-422.53512573  ,1486.15515137  ,-1.71010077
8937  ,9.421e-02   ,-422.53512573  ,1486.15515137  ,-8.55050373
8940  ,9.424e-02   ,-422.04153442  ,1486.28747559  ,-19.28362846
8942  ,9.421e-02   ,-422.53512573  ,1486.15515137  ,8.55050373
8945  ,9.386e-02   ,-428.82101440  ,1484.47082520  ,-0.00000262
8947  ,9.481e-02   ,-411.91735840  ,1489.00024414  ,21.65063477
8948  ,9.457e-02   ,-416.16445923  ,1487.86218262  ,16.41058159
8949  ,9.520e-02   ,-404.87521362  ,1490.88720703  ,29.54423332
8951  ,9.424e-02   ,-422.04153442  ,1486.28747559  ,19.28362846
