Date:  21:52, Saturday, February 08, 2020
Model name:Cantilever
Study name:Static 1(-Default-)
Plot type: Static displacement Displacement1
Result Type: URES 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)
13  ,1.421e-01   ,2.8098E-16  ,6  ,0
14  ,1.303e-01   ,2.8098E-16  ,6  ,1.5385
15  ,1.242e-01   ,2.8098E-16  ,6  ,3.0769
16  ,1.224e-01   ,2.8098E-16  ,6  ,4.6154
17  ,1.221e-01   ,2.8098E-16  ,6  ,6.1538
18  ,1.216e-01   ,2.8098E-16  ,6  ,7.6923
19  ,1.210e-01   ,2.8098E-16  ,6  ,9.2308
20  ,1.209e-01   ,2.8098E-16  ,6  ,10.769
21  ,1.213e-01   ,2.8098E-16  ,6  ,12.308
22  ,1.216e-01   ,2.8098E-16  ,6  ,13.846
23  ,1.222e-01   ,2.8098E-16  ,6  ,15.385
24  ,1.235e-01   ,2.8098E-16  ,6  ,16.923
25  ,1.298e-01   ,2.8098E-16  ,6  ,18.462
26  ,1.437e-01   ,2.8098E-16  ,6  ,20
172  ,2.149e-01   ,-1.5556  ,6  ,0
173  ,2.763e-01   ,-3.1111  ,6  ,0
174  ,3.471e-01   ,-4.6667  ,6  ,0
175  ,4.287e-01   ,-6.2222  ,6  ,0
176  ,5.216e-01   ,-7.7778  ,6  ,0
177  ,6.258e-01   ,-9.3333  ,6  ,0
178  ,7.410e-01   ,-10.889  ,6  ,0
179  ,8.672e-01   ,-12.444  ,6  ,0
180  ,1.004e+00   ,-14  ,6  ,0
181  ,1.151e+00   ,-15.556  ,6  ,0
182  ,1.308e+00   ,-17.111  ,6  ,0
183  ,1.475e+00   ,-18.667  ,6  ,0
184  ,1.651e+00   ,-20.222  ,6  ,0
185  ,1.836e+00   ,-21.778  ,6  ,0
186  ,2.030e+00   ,-23.333  ,6  ,0
187  ,2.233e+00   ,-24.889  ,6  ,0
188  ,2.444e+00   ,-26.444  ,6  ,0
189  ,2.663e+00   ,-28  ,6  ,0
190  ,2.890e+00   ,-29.556  ,6  ,0
191  ,3.124e+00   ,-31.111  ,6  ,0
192  ,3.365e+00   ,-32.667  ,6  ,0
193  ,3.613e+00   ,-34.222  ,6  ,0
194  ,3.868e+00   ,-35.778  ,6  ,0
195  ,4.129e+00   ,-37.333  ,6  ,0
196  ,4.396e+00   ,-38.889  ,6  ,0
197  ,4.668e+00   ,-40.444  ,6  ,0
198  ,4.946e+00   ,-42  ,6  ,0
199  ,5.230e+00   ,-43.556  ,6  ,0
200  ,5.518e+00   ,-45.111  ,6  ,0
201  ,5.811e+00   ,-46.667  ,6  ,0
202  ,6.108e+00   ,-48.222  ,6  ,0
203  ,6.409e+00   ,-49.778  ,6  ,0
204  ,6.713e+00   ,-51.333  ,6  ,0
205  ,7.022e+00   ,-52.889  ,6  ,0
206  ,7.333e+00   ,-54.444  ,6  ,0
207  ,7.647e+00   ,-56  ,6  ,0
208  ,7.964e+00   ,-57.556  ,6  ,0
209  ,8.283e+00   ,-59.111  ,6  ,0
210  ,8.604e+00   ,-60.667  ,6  ,0
211  ,8.927e+00   ,-62.222  ,6  ,0
212  ,9.251e+00   ,-63.778  ,6  ,0
213  ,9.578e+00   ,-65.333  ,6  ,0
214  ,9.907e+00   ,-66.889  ,6  ,0
215  ,1.025e+01   ,-68.444  ,6  ,0
216  ,1.067e+01   ,-70  ,6  ,0
217  ,1.064e+01   ,-70  ,6  ,1.5385
218  ,1.064e+01   ,-70  ,6  ,3.0769
219  ,1.064e+01   ,-70  ,6  ,4.6154
220  ,1.064e+01   ,-70  ,6  ,6.1538
221  ,1.064e+01   ,-70  ,6  ,7.6923
222  ,1.064e+01   ,-70  ,6  ,9.2308
223  ,1.064e+01   ,-70  ,6  ,10.769
224  ,1.064e+01   ,-70  ,6  ,12.308
225  ,1.064e+01   ,-70  ,6  ,13.846
226  ,1.064e+01   ,-70  ,6  ,15.385
227  ,1.064e+01   ,-70  ,6  ,16.923
228  ,1.064e+01   ,-70  ,6  ,18.462
229  ,1.066e+01   ,-70  ,6  ,20
230  ,1.025e+01   ,-68.444  ,6  ,20
231  ,9.907e+00   ,-66.889  ,6  ,20
232  ,9.577e+00   ,-65.333  ,6  ,20
233  ,9.251e+00   ,-63.778  ,6  ,20
234  ,8.927e+00   ,-62.222  ,6  ,20
235  ,8.604e+00   ,-60.667  ,6  ,20
236  ,8.283e+00   ,-59.111  ,6  ,20
237  ,7.964e+00   ,-57.556  ,6  ,20
238  ,7.647e+00   ,-56  ,6  ,20
239  ,7.333e+00   ,-54.444  ,6  ,20
240  ,7.021e+00   ,-52.889  ,6  ,20
241  ,6.713e+00   ,-51.333  ,6  ,20
242  ,6.408e+00   ,-49.778  ,6  ,20
243  ,6.107e+00   ,-48.222  ,6  ,20
244  ,5.810e+00   ,-46.667  ,6  ,20
245  ,5.517e+00   ,-45.111  ,6  ,20
246  ,5.229e+00   ,-43.556  ,6  ,20
247  ,4.946e+00   ,-42  ,6  ,20
248  ,4.668e+00   ,-40.444  ,6  ,20
249  ,4.395e+00   ,-38.889  ,6  ,20
250  ,4.128e+00   ,-37.333  ,6  ,20
251  ,3.867e+00   ,-35.778  ,6  ,20
252  ,3.613e+00   ,-34.222  ,6  ,20
253  ,3.365e+00   ,-32.667  ,6  ,20
254  ,3.123e+00   ,-31.111  ,6  ,20
255  ,2.889e+00   ,-29.556  ,6  ,20
256  ,2.663e+00   ,-28  ,6  ,20
257  ,2.444e+00   ,-26.444  ,6  ,20
258  ,2.233e+00   ,-24.889  ,6  ,20
259  ,2.030e+00   ,-23.333  ,6  ,20
260  ,1.836e+00   ,-21.778  ,6  ,20
261  ,1.651e+00   ,-20.222  ,6  ,20
262  ,1.474e+00   ,-18.667  ,6  ,20
263  ,1.308e+00   ,-17.111  ,6  ,20
264  ,1.151e+00   ,-15.556  ,6  ,20
265  ,1.004e+00   ,-14  ,6  ,20
266  ,8.671e-01   ,-12.444  ,6  ,20
267  ,7.410e-01   ,-10.889  ,6  ,20
268  ,6.257e-01   ,-9.3333  ,6  ,20
269  ,5.216e-01   ,-7.7778  ,6  ,20
270  ,4.287e-01   ,-6.2222  ,6  ,20
271  ,3.471e-01   ,-4.6667  ,6  ,20
272  ,2.764e-01   ,-3.1111  ,6  ,20
273  ,2.151e-01   ,-1.5556  ,6  ,20
274  ,3.752e+00   ,-35  ,6  ,1.5385
275  ,3.761e+00   ,-35  ,6  ,3.0769
276  ,3.769e+00   ,-35  ,6  ,4.6154
277  ,3.775e+00   ,-35  ,6  ,6.1538
278  ,3.778e+00   ,-35  ,6  ,7.6923
279  ,3.780e+00   ,-35  ,6  ,9.2308
280  ,3.780e+00   ,-35  ,6  ,10.769
281  ,3.778e+00   ,-35  ,6  ,12.308
282  ,3.774e+00   ,-35  ,6  ,13.846
283  ,3.769e+00   ,-35  ,6  ,15.385
284  ,3.761e+00   ,-35  ,6  ,16.923
285  ,3.751e+00   ,-35  ,6  ,18.462
286  ,3.501e+00   ,-33.444  ,6  ,1.5385
287  ,3.511e+00   ,-33.444  ,6  ,3.0769
288  ,3.519e+00   ,-33.444  ,6  ,4.6154
289  ,3.524e+00   ,-33.444  ,6  ,6.1538
290  ,3.528e+00   ,-33.444  ,6  ,7.6923
291  ,3.530e+00   ,-33.444  ,6  ,9.2308
292  ,3.530e+00   ,-33.444  ,6  ,10.769
293  ,3.528e+00   ,-33.444  ,6  ,12.308
294  ,3.524e+00   ,-33.444  ,6  ,13.846
295  ,3.518e+00   ,-33.444  ,6  ,15.385
296  ,3.510e+00   ,-33.444  ,6  ,16.923
297  ,3.500e+00   ,-33.444  ,6  ,18.462
298  ,3.256e+00   ,-31.889  ,6  ,1.5385
299  ,3.267e+00   ,-31.889  ,6  ,3.0769
300  ,3.275e+00   ,-31.889  ,6  ,4.6154
301  ,3.281e+00   ,-31.889  ,6  ,6.1538
302  ,3.285e+00   ,-31.889  ,6  ,7.6923
303  ,3.287e+00   ,-31.889  ,6  ,9.2308
304  ,3.287e+00   ,-31.889  ,6  ,10.769
305  ,3.285e+00   ,-31.889  ,6  ,12.308
306  ,3.281e+00   ,-31.889  ,6  ,13.846
307  ,3.275e+00   ,-31.889  ,6  ,15.385
308  ,3.267e+00   ,-31.889  ,6  ,16.923
309  ,3.256e+00   ,-31.889  ,6  ,18.462
310  ,3.019e+00   ,-30.333  ,6  ,1.5385
311  ,3.030e+00   ,-30.333  ,6  ,3.0769
312  ,3.038e+00   ,-30.333  ,6  ,4.6154
313  ,3.045e+00   ,-30.333  ,6  ,6.1538
314  ,3.049e+00   ,-30.333  ,6  ,7.6923
315  ,3.051e+00   ,-30.333  ,6  ,9.2308
316  ,3.051e+00   ,-30.333  ,6  ,10.769
317  ,3.049e+00   ,-30.333  ,6  ,12.308
318  ,3.044e+00   ,-30.333  ,6  ,13.846
319  ,3.038e+00   ,-30.333  ,6  ,15.385
