Continuous Data Log,,,,,,,,,,,,,,,,,,,,,,,,,,
Started: 07-Feb-20 14:45:47,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,SPEED,THRUST,THROTTLE,AIR VOL. FLOW,AIR MASS FLOW,AIR DENSITY,FUEL VOL. FLOW,FUEL MASS FLOW,FUEL DENSITY,AFR,BAROMETRIC,ORIFICE DELTA,PS COMP. IN,PS DIFF. IN,PS DIFF. OUT,PT DIFF. OUT,PT NOZZLE IN,PT EXHAUST,T AIR,T FUEL,T COMP. IN,T DIFF. IN,T DIFF. OUT,T NOZZLE IN,T TURBINE OUT,T EXHAUST
HH:MM:SS,RPS,N,%,l/s,g/s,g/l,ml/s,g/s,g/cm3,,mBarA,Pa,BarG,BarG,BarG,BarG,BarG,BarG,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,,,,,,,,,,,,,
14:45:47,0,-0.8,0.4,38.4,46.4,1.2111,3,2.25,0.75,20.6,1002.08,16.2,0,0,0,0,0,0,15,16.4,12.8,10.2,13.5,40,178.8,121.7
14:45:48,0,1.8,0.4,37.8,45.8,1.2117,3.999,3,0.75,15.3,1002.08,39.96,0,0,0,0,0,0,15.7,16,13.2,13.9,13.3,56.9,217.3,174.7
14:45:49,0,-0.5,0.2,59.5,71.9,1.2087,3,2.25,0.75,31.9,1002.08,16.18,0,0,0,0,0,0,15.1,17.7,12.7,18.2,13.6,69.7,251.8,206.5
14:45:50,0,-1.6,0.1,37.8,45.8,1.2114,5.999,4.499,0.75,10.2,1002.08,18.92,0,0,0,0.01,0,0,15.5,15.7,13.9,13.4,14.5,87.2,274.4,224.3
14:45:51,0,0.5,0,40.9,49.5,1.2096,4,3,0.75,16.5,1002.08,26.02,0,0,0.01,0.01,0.01,0,16.1,15.2,13.7,15.8,14.5,129.2,305.7,230.6
14:45:52,0,-0.2,0,48,58,1.2072,4,3,0.75,19.3,1002.08,12.32,0,0.01,0.01,0.01,0.01,0,15.9,15.5,13.7,13.4,15.3,180.2,353.2,245.4
14:45:53,0,-0.5,0,33,39.9,1.2081,5,3.75,0.75,10.6,1002.08,21.65,0,0.01,0.01,0.01,0.01,0,15.9,16.6,13.2,14.8,15,235.4,416.5,274.5
14:45:54,0,-0.7,0,43.8,52.9,1.2081,5.999,4.499,0.75,11.8,1002.08,4.99,0,0.01,0.02,0.02,0.01,0,15.7,14.6,13.8,10.9,16,286.8,501.8,329
14:45:55,0,0.8,-0.1,0,0,1.2087,8,6,0.75,0,1002.08,39.97,0,0.01,0.02,0.02,0.02,0,15.9,15.8,13.7,16.3,15.2,345.2,594.1,397.9
14:45:56,0,0.1,-0.1,59.5,71.9,1.2081,5.999,4.499,0.75,16,1002.53,28.11,0,0.02,0.02,0.02,0.02,0,15.8,17.4,14,17.2,16.3,443.5,799.8,563.3
14:45:57,0,1.3,-0.1,49.9,60.3,1.2089,4.999,3.749,0.75,16.1,1002.53,39.82,0,0.02,0.03,0.03,0.02,0,16.3,16.1,13.8,13.3,16.6,481.8,840.4,603.1
14:45:58,0,2.6,-0.1,59.4,71.7,1.2068,7.999,5.999,0.75,11.9,1002.53,22.72,0,0.03,0.03,0.03,0.03,0,15.9,14.9,14.3,19.8,17.1,516,851.2,620.7
14:45:59,0,3.5,-0.1,44.8,54.2,1.2083,7.002,5.251,0.75,10.3,1002.53,61.73,0,0.03,0.04,0.04,0.03,0,16,15.6,14.1,16.5,17.7,543.6,810.7,595.2
14:46:00,0,2.5,-0.1,73.9,89.3,1.208,12.993,9.745,0.75,9.2,1002.53,45.88,0,0.04,0.04,0.04,0.04,0,15.8,16.4,15.1,16.8,17.8,551.1,754.9,560
14:46:01,0,3.9,-0.1,63.7,77,1.2089,13.998,10.499,0.75,7.3,1002.53,66.28,0,0.04,0.05,0.05,0.05,0,16.2,15.5,15.3,19.2,18.4,543.4,701.9,527.7
14:46:02,0,4.3,-0.1,76.6,92.5,1.2074,13,9.75,0.75,9.5,1002.53,85.79,0,0.05,0.06,0.06,0.06,0,15.8,15.7,15.6,17.6,20.1,536.7,670,512.7
14:46:03,0,5.6,-0.1,87.1,105.3,1.2089,9.999,7.499,0.75,14,1002.53,61.29,0,0.06,0.07,0.07,0.07,0.01,15.7,14.8,15.8,21.5,20.7,535.6,676.7,526
14:46:04,0,7.2,-0.1,73.6,89,1.2092,10.999,8.249,0.75,10.8,1002.53,39.65,0,0.08,0.09,0.09,0.08,0.01,15.9,15.4,16.7,23.7,22.4,575.3,705.5,551.1
14:46:05,0,7.2,-0.1,59.2,71.6,1.2086,11.999,8.999,0.75,8,1002.53,105.35,0,0.1,0.11,0.12,0.11,0.02,15.9,15.4,16.1,27.3,24.7,611.3,726.2,567.9
14:46:06,0,9.4,-0.1,96.6,116.6,1.2071,11.998,8.999,0.75,13,1002.92,77.09,-0.01,0.13,0.15,0.15,0.14,0.02,16.2,16,15.6,28.8,26.9,620.1,726.2,567.9
