Continuous Data Log,,,,,,,,,,,,,,,,,,,,,,,,,,
Started: 14-Feb-20 14:42:11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,SPEED,THRUST,THROTTLE,AIR VOL. FLOW,AIR MASS FLOW,AIR DENSITY,FUEL VOL. FLOW,FUEL MASS FLOW,FUEL DENSITY,AFR,BAROMETRIC,ORIFICE DELTA,PS COMP. IN,PS DIFF. IN,PS DIFF. OUT,PT DIFF. OUT,PT NOZZLE IN,PT EXHAUST,T AIR,T FUEL,T COMP. IN,T DIFF. IN,T DIFF. OUT,T NOZZLE IN,T TURBINE OUT,T EXHAUST
HH:MM:SS,RPS,N,%,l/s,g/s,g/l,ml/s,g/s,g/cm3,,mBarA,Pa,BarG,BarG,BarG,BarG,BarG,BarG,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,,,,,,,,,,,,,
14:42:11,0,-1.5,0.3,41.6,49.9,1.2,2.999,2.249,0.75,22.2,994.22,19.41,0,0,0,0,0,0,15.5,16.2,15.2,14.1,14.9,14.9,15.5,14.7
14:42:12,0,-1.2,0.4,41.6,49.9,1.2001,0,0,0.75,0,994.22,18.32,0,0,0,0,0,0,15.5,16.2,15.2,13.7,15,15.1,22.9,15.5
14:42:13,0,-1.1,0.4,40.4,48.5,1.2,0,0,0.75,0,994.22,17.72,0,0,0,0,0,0,15.5,16.1,15.2,14.1,14.9,15.9,43.1,18.3
14:42:14,0,-1.7,0.4,39.7,47.7,1.2,2,1.5,0.75,31.8,994.22,17.86,0,0,0,0,0,0,15.5,16.2,15.3,13.7,15.1,17.3,69.1,23.5
14:42:15,0,-1.3,0.4,39.9,47.9,1.2,2.999,2.249,0.75,21.3,994.22,17.49,0,0,0,0,0,0,15.6,16.2,15.3,14,15.1,19.8,100.7,35.2
14:42:16,0,-0.9,0.5,39.5,47.4,1.1998,4,3,0.75,15.8,994.22,19.97,0,0,0,0,0,0,15.6,16.1,15.4,14.2,15.2,24.2,129.3,64.1
14:42:17,0,-0.2,0.5,42.2,50.6,1.1999,1.999,1.499,0.75,33.8,994.22,23.41,0,0,0,0,0,0,15.6,16.2,15.3,14.3,15.4,33.8,160,109.7
14:42:18,0,-1.7,0.5,45.7,54.8,1.1998,3.001,2.251,0.75,24.3,993.92,28.28,0,0,0,0,0,0,15.5,16,15.4,14.6,15.6,50.1,202,161.9
14:42:19,0,-1,0.5,50.2,60.2,1.1996,3,2.25,0.75,26.8,993.92,34.99,0,0,0,0,0,0,15.6,16,15.4,15.1,15.8,66.3,241.2,195.1
14:42:20,0,-1.4,0.2,55.8,67,1.1995,3.999,3,0.75,22.3,993.92,27.33,0,0,0.01,0.01,0,0,15.6,15.7,15.6,14.8,15.9,80.5,274,215
14:42:21,0,-0.4,0.1,49.4,59.2,1.1995,2,1.5,0.75,39.5,993.92,19.97,0,0.01,0.01,0.01,0.01,0,15.6,15.6,15.6,15,16.1,105.3,297.2,227.2
14:42:22,0,0.8,0.1,42.2,50.6,1.1993,3,2.25,0.75,22.5,993.92,29.27,0,0.01,0.01,0.01,0.01,0,15.6,15.4,15.6,15.6,16.4,149.7,329.1,238.8
14:42:23,0,-0.6,0,51.1,61.3,1.1994,4,3,0.75,20.4,993.92,17.36,0,0.01,0.01,0.02,0.01,0,15.6,15.2,15.7,16.1,16.6,201.9,378.2,260.1
14:42:24,0,-0.4,0,39.3,47.2,1.1994,4,3,0.75,15.7,993.92,53.7,0,0.01,0.02,0.02,0.02,0,15.7,15.2,15.8,16.8,17.2,332,528.9,346.3
14:42:25,0,1.2,0,69.2,83,1.199,6.003,4.502,0.75,18.4,993.92,70.54,0,0.02,0.02,0.02,0.02,0,15.7,15.1,15.9,17.2,17.4,398.5,629.5,414.1
14:42:26,0,0.5,0,79.3,95.1,1.199,4.996,3.747,0.75,25.4,993.92,52.6,0,0.02,0.02,0.03,0.02,0,15.6,15.1,16,17.6,17.7,454.2,756.8,510.2
14:42:27,0,1.3,0,68.5,82.1,1.1992,11.999,9,0.75,9.1,994.56,30.15,0,0.02,0.03,0.03,0.03,0,15.6,15.1,16.4,17.7,18.1,502.8,844,579.2
14:42:28,0,0.8,0,51.8,62.2,1.2001,7.999,5.999,0.75,10.4,994.56,53.88,0,0.03,0.03,0.03,0.03,0,15.7,14.9,16.5,18,18.4,540.5,889.5,631.8
14:42:29,0,1.5,0,69.3,83.1,1.1998,6.998,5.249,0.75,15.8,994.56,26.3,0,0.03,0.04,0.04,0.04,0,15.7,14.9,16.6,18.2,18.9,550.3,856.4,623.6
14:42:30,0,1.3,0,48.4,58.1,1.1999,9,6.75,0.75,8.6,994.56,61.48,0,0.04,0.04,0.05,0.04,0,15.7,14.9,16.7,18.9,19.4,551.9,815.9,600.6
14:42:31,0,3.3,0,74,88.8,1.1997,10,7.5,0.75,11.8,994.56,74.47,0,0.04,0.05,0.05,0.05,0.01,15.7,14.7,16.9,19.3,19.8,560.2,768.1,565.3
