be; relate to; system; fasten; department; faculty; connect | to tie,系
recommend; recommendation,推荐
exhale; sip; (sound of laughter),哈
human life,人生
do; make; be engaged in,搞
"to clap; to pat; to shoot (pictures, a film); send (a telegram)",拍
look forward to; await; expectation,期待
(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,片
depend on; lean on; near; to trust,靠
"place; that which; (mw for houses, buildings)",所
to load; dress up; pretend; clothing; to install,装
to turn over; capsize; translate,翻
to drip; drop; (mw for drops of liquid),滴
unexpectedly; to one's surprise; go so far as to,居然
cover; (mw for sets of things); tie together,套
hey!; (interjection of surprise or dissatisfaction),哎
foolish; fool,傻
participate (in sth.); attach oneself to,参与
head; chief; first; (mw for poems and songs) (Kangxi radical 185),首
treasure; precious things; darling; baby,宝贝
night; darkness,夜
individual; personal; oneself,个人
publish; to issue (a statement); announce,发表
straight; currently; correct; just (right); pure; precisely,正
how; what; what way,如何
fight over; vie for; grab; rush | bump against,抢
"beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)",亲爱
once; (refers to something that happened previously),曾经
future,未来
absolute; definite,绝对
blessings; wish well,祝福
warm,温暖
gram; overcome; restrain,克
a certain; some,某
bright; light; shiny,亮
fashion; fad,时尚
days; date; time; life,日子
(an exclamation indicating resignation); oh well; oh; mm,唉
plan; design,设计
round; ball; group; unite; dumpling; (mw for ball-like things),团
to treasure; cherish; to value,珍惜
nape (of the neck); sum (of money); mw item,项
"(mw for hearts and small, round things like seeds, grains, beans, etc.)",颗
experience for oneself; to personally experience (usually a kind of life),体验
to kill; to murder,杀
really; sure enough; as expected,果然
"to lose (time, an opportunity, work, etc.)",失去
dream of; wishful thinking,梦想
diluted; weak; thin,淡
(informal) wife,老婆
pig,猪
pain; suffering; agony,痛苦
perfect,完美
non-; un-; not be; wrongdoing; simply must (Kangxi radical 175),非
at once; hurriedly; lose no time,赶紧
pot; pan; boiler,锅
plain; convenient; excretion; formal equivalent to 就 | cheap,便
"crowd; group; (mw for groups, flocks, or swarms)",群
enjoy,享受
classics; scriptures,经典
counterpart; the other party involved,对方
otherwise; or else; how about,要不
to wait (for); expect,等待
safe and sound,平安
not as good as; inferior to,不如
smile,微笑
vigor; spirit; mind,精神
lonely; lonesome,寂寞
standard; regulation; however; in that case,则
market,市场
super; transcending; high grade,超级
blood (Kangxi radical 143),血
"top; roof; carry on one's head; prop up; to butt; (mw for headwear, i.e. hats)",顶
to face; confront,面对
(for) a lifetime; all one's life,一辈子
to cut; to chop | correspond to; absolutely; ardently,切
product; goods; merchandise,产品
way; style; fashion; manner,方式
belong to; be part of,属于
weigh; to call; be called,称
to boil; to cook,煮
to hate,恨
to spit | to vomit; throw up,吐
to dry in the sun; shine upon; to sun; bask,晒
square; direction; side (Kangxi radical 70),方
represent; to delegate,代表
value; worth,价值
"(interjection expressing what?, huh? hmm? why? ok, etc.)",嗯
romantic love; be in love; love affair,恋爱
space,空间
true; real; authentic,真实
network,网络
at present; now; for the moment,目前
reality; actuality; practical,现实
regard as; act as; action; deed,作为
scold; curse; condemn; verbally abuse,骂
government,政府
pursue; chase,追
dragon (Kangxi radical 212),龙
to exist; to be,存在
boss; proprietor; shopkeeper,老板
to lead; leader; leadership,领导
to keep; maintain; to hold,保持
still; as before,依然
feel; experience; emotion; impression,感受
strong; staunch,坚强
number | to count; to rank,数
"(movie, etc.) star; celebrity",明星
company; business; firm,企业
rise; hoist; promote; liter,升
injure; to harm; wound,伤害
unceasing; uninterrupted; continuously,不断
to freeze,冻
freedom; free; liberty,自由
youth; youthfulness; fresh spring,青春
whole; entire; total,整个
